Correlativo;Dominio;Lengua;TipoRasgo;ValorRasgo
1;2;1;1;6
2;2;2;1;6
3;2;4;1;6
4;2;5;1;6
5;2;7;1;6
6;2;8;1;6
7;2;9;1;2
18;2;9;1;2
8;2;10;1;2
9;2;11;1;2
10;2;12;1;1
32;2;17;1;1
13;2;19;1;1
22;2;19;1;2
23;2;20;1;2
14;2;21;1;1
28;2;22;1;4
30;2;23;1;3
35;2;23;1;3
33;2;25;1;4
24;2;26;1;2
25;2;26;1;2
15;2;27;1;6
17;2;27;1;6
16;2;28;1;4
19;2;29;1;2
20;2;29;1;3
27;2;30;1;6
39;2;31;1;4
31;2;32;1;4
36;2;34;1;4
34;2;35;1;4
37;2;36;1;6
38;2;37;1;6
29;2;38;1;6
144;3;1;2;1
387;3;1;3;1
424;3;1;4;2
152;3;1;5;1
443;3;1;7;1
194;3;1;8;1
249;3;1;9;1
441;3;1;10;1
442;3;1;11;1
147;3;2;2;1
388;3;2;3;1
425;3;2;4;2
159;3;2;7;1
195;3;2;8;1
251;3;2;9;1
250;3;2;9;3
279;3;2;11;4
148;3;3;2;1
389;3;3;3;1
426;3;3;4;2
154;3;3;5;1
160;3;3;7;1
196;3;3;8;1
252;3;3;9;3
283;3;3;10;2
390;3;4;3;1
161;3;4;7;1
253;3;4;9;3
280;3;4;10;2
146;3;5;2;1
391;3;5;3;1
155;3;5;5;1
158;3;5;7;1
197;3;5;8;1
254;3;5;9;3
392;3;7;3;1
427;3;7;4;2
156;3;7;5;1
198;3;7;8;1
256;3;7;9;1
255;3;7;9;3
281;3;7;11;4
393;3;8;3;1
428;3;8;4;2
157;3;8;5;1
199;3;8;8;1
257;3;8;9;1
282;3;8;11;4
394;3;9;3;1
429;3;9;4;2
200;3;9;8;1
258;3;9;9;4
395;3;10;3;1
162;3;10;7;1
201;3;10;8;1
259;3;10;9;4
260;3;10;10;1
261;3;10;11;2
396;3;11;3;1
430;3;11;4;2
202;3;11;8;2
262;3;11;9;2
264;3;11;10;1
263;3;11;11;2
397;3;12;3;2
431;3;12;4;3
163;3;12;7;1
203;3;12;8;1
204;3;12;8;5
265;3;12;9;4
266;3;12;10;1
267;3;12;11;4
398;3;13;3;1
164;3;13;7;2
205;3;13;8;2
268;3;13;9;2
269;3;13;9;4
399;3;14;3;1
432;3;14;4;2
165;3;14;7;1
207;3;14;8;1
270;3;14;9;2
271;3;14;9;3
272;3;14;9;4
444;3;14;10;1
277;3;14;11;2
58;3;15;1;3
400;3;15;3;1
433;3;15;4;2
166;3;15;7;1
208;3;15;8;1
273;3;15;9;2
274;3;15;9;3
