Correlativo	Nombre Lengua	Región Lengua	País	Coordenadas Geográficas
1	Mapudungun	Andes Sur	Chile	-
2	Quechua Ancash	Quechua I	Varios	-
3	Quechua de Cajamarca	Quechua IIA	Perú	-
4	Quechua Ecuatoriano	Quechua IIB	Ecuador	-
5	Quechua Ayacuchano	Quechua IIC	Perú	-
6	Quechua Ayacuchano	Altiplano	Perú	-
7	Aymara Sureño	Altiplano	Perú	-
8	Jaqaru	Centro-Norte del Perú	Perú	-
9	Chipaya	CircunTiticaca	Bolivia	-
10	Uchumataqu	CircunTiticaca	Bolivia	-
11	Cholón	Andes-Amazonia	Perú	-
12	Mochica	Costa centro-norte	Perú	-
13	Kunza	Norte	Chile	-
14	Millcayac	Centro-Oeste	Argentina	-
15	Allentiac	Centro-Oeste	Argentina	-
16	Selknam	Patagonia	Chile	-
17	Yagan	Tierra del Fuego	Chile	-
18	Yagan	Tierra del fuego	Chile	-
19	Toba	Chaco	Argentina	-
20	Mocoví	Chaco	Argentina	-
21	Pilagá	Chaco	Argentina	-
22	Nivaclé	Chaco	Paraguay	-
23	Wichí	Chaco	Argentina	-
24	Chorote	Chaco	Argentina	-
25	Ayoreo	Chaco	Paraguay	-
26	Tapiete	Chaco	Paraguay	-
27	Kaweskar	Tierra del fuego	Chile	-
28	Tehuelche	Patagonia	Argentina	-
29	Secoya	Amazonía	Perú y Ecuador	-
30	Urarina	Amazonía	Perú	-
31	Ocaina	Amazonía	Perú y Colombia	-
32	Reyesano	Amazonía	Perú	-
33	Amahuaca	Amazonía	Perú	-
34	trumai	Amazonía	Brasil	-
35	yanesha	Amazonía	Perú	-
36	Tariana	Amazonía	Brasil	-
37	Tucano	Amazonía	Brasil	-
38	Quechua de Huallaga	Huallaga, Departamento de San Martín	Perú	-6.934436° - -76.772828°
39	Quechua de Yauyos Sur	Sur de la Provincia de Yauyos	Perú	-13.11 - -75.77
40	Kadiwéu	Chaco	Brasil	-
41	Puquina	Andes	Peru, Bolivia, Chile	-
42	Lule	Chaco	Argentina	-28.00 - -64.00
43	vilela	Chaco	Argentina	-28.00 - -64.00
44	Quechua de Santiago del Estero	Andes	Argentina	-
45	Quechua Pacaraos	Andes	Perú	-
46	kokama	Amazonia	Peru	-
47	Gaviao	Amazonia	Brazil	-
48	Tiriyó	Amazonia	Brazil, Surinam	-
49	kalapalo	Amazonia	Brazil	-
50	Karajá	Amazonia	Brazil	-
51	Apinayé	Amazonia	Brazil	-
52	Kashibo-Kakataibo	Amazonia	Peru	-
53	Matsés	Amazonia	Brazil	-
54	shiwilu	Amazonia	Peru	-
55	cavineña	Amazonia	Bolivia	-
56	Sanuma	Amazonia	Venezuela	-
57	Hup	Amazonia	Colombia, Brazil	-
58	kulina	Amazonia	Peru, Brazil	-
59	bora	Amazonia	Peru	-
60	Urarina	Amazonia	Peru	-
61	Trumai	Amazonia	Brazil	-
62	Baure	Amazonia	Bolivia	-
63	Yurakare	Amazonia	Bolivia	-
64	Movima	Amazonia	Bolivia	-
65	Puinave	Amazonia	Colombia	-
66	kalapalo	Amazonía	Brasil	-
67	ignaciano	Amazonía	Bolivia	-
68	Harakmbut	Amazonía	Perú	-
69	Xavante karaja	Amazonía	Brasil	-
70	Bora	Amazonía	Perú y Colombia	-
71	Sabané	Amazonía	Brasil	-
72	aguarana wampis	Amazonía	Perú	-
73	Maxakali apinave	Amazonía	Brasil	-
